LOG FILE
DATE-TIME: 29-11-21 14:55:11
Symbol (O) MEANS BOOKED AND (E) MEANS EMPTY SEATS

S.No.	  A	  B	  C	|  |	  D	  E

1	(w)O	(w)(a)O	(w)(a)E	|  |	E	(w)E	
2	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
3	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
4	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
5	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
6	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
7	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
8	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
9	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
10	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
11	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
12	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
13	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
14	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
15	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
16	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
17	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
18	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
19	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
20	(w)E	(w)(a)E	(w)(a)E	|  |	E	(w)E	
